name,slug,product_type,category_slug,base_price,compare_at_price,short_description,description,is_active,featured,new_arrival,best_seller,on_sale,sku,stock_quantity,image_url
Sensational,sensational,wig,tressallure-wigs,407.15,479.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/Sensationalfront.png?v=1770673490&width=1100
Shag Chic,shag-chic,wig,tressallure-wigs,89.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/shagchic-front.png?v=1751318910&width=1100
Sheer Joy,sheer-joy,wig,tressallure-wigs,407.15,479.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/sheerjoy-front.png?v=1770480492&width=1100
Short Shag,short-shag,wig,tressallure-wigs,109.65,129.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/shortshag-fashion.png?v=1770480559&width=1100
Sleek and Straight,sleek-and-straight,wig,tressallure-wigs,58.9,69.3,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/sleekandstraight-front-1.png?v=1751318857&width=1100
Stunning,stunning,wig,tressallure-wigs,2175.15,2559.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/stunning-front_48e3d190-ca9f-4674-8079-0257cf03508f.png?v=1770729007&width=1100
Trend,trend,wig,tressallure-wigs,407.15,479.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/trend-front.png?v=1770480721&width=1100
Undercut Bob,undercut-bob,wig,tressallure-wigs,407.15,479.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/undercutbob-front_64e0aa31-7827-4ad7-b21d-2aabdb824b72.png?v=1770729118&width=1100
Charming,charming,wig,tressallure-wigs,344.25,405.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/Charming-featured.jpg?v=1764794315&width=1100
Poised,poised-b,wig,tressallure-wigs,194.65,229.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/Poise-featured.png?v=1765981868&width=1100
Million Dollar Babe,million-dollar-babe,wig,tressallure-wigs,452.2,532.0,,,True,False,False,False,True,,,https://hairloss.com/cdn/shop/files/milliondollarbabe-front.png?v=1771855656&width=1100
BlendFit  | Fine mono and lace front,blendfit-fine-mono-and-lace-front,wig,wigs,139.99,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/BlendFitModel.jpg?v=1761010912&width=1100
Flexmesh  | Nylon mesh center,flexmesh-nylon-mesh-center,wig,wigs,144.99,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/Flexmesh.png?v=1760717538&width=1100
Skin Lite | Ultra Thin Skin V-looped front,skinlite-ultra-thin-skin,wig,wigs,112.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/edge_lace_model_square_final.png?v=1760549525&width=1100
Vita Lace | Super Fine Mono,vitalace-super-fine-mono,wig,wigs,265.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/VitaLaceModel.jpg?v=1761010877&width=1100
Dermis Pro 1 | Fine Mono with Skin front,dermispro-fine-mono-with-skin-front,wig,wigs,238.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/versalite_model_square_close.png?v=1760547494&width=1100
Aire 12,aire-12,wig,wigs,90.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/elantf_cool_model.png?v=1760547450&width=1100
Contour Flex | French lace and skin on sides,contourflex-french-lace-and-skin-on-sides,wig,wigs,190.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/tomas-contourflex.png?v=1761142668&width=1100
ProCap | Fine Mono and Skin Full Cap,procap-full-cap,wig,wigs,513.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/ALEX-sideview.webp?v=1748446933&width=1100
Aeris 20 | Light-weight French lace,aeris20-light-weight-french-lace,wig,wigs,283.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/Aeris20.jpg?v=1762780115&width=1100
Optilace | Light-weight Lace base,optilace-light-weight-lace-base,wig,wigs,276.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/Optilace_cba54466-6ecd-47f9-b7c0-71a33fa328c7.jpg?v=1760974305&width=1100
Apollo 24,apollo-25,wig,wigs,135.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/Apollo-24.png?v=1760717378&width=1100
HLM 3 | Fine welded base,hlm3-fine-welded-base,wig,wigs,149.99,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/HLM3.png?v=1760718251&width=1100
HLM 4 | All French Lace base,hlm4-all-french-lace-base,wig,wigs,150.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/HLM4.png?v=1760718297&width=1100
Nova | Ultra Thin Skin,novaskin-ultra-thin-skin,wig,wigs,149.99,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/Nova-Lace.png?v=1760717661&width=1100
V-Silk | Silk center with V-looped skin front,vsilk-silk-center-with-v-looped-skin-front,wig,wigs,149.99,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/V-Silk.png?v=1760718478&width=1100
Sky Lace  | French lace light hair density,skylace-french-lace-light-hair-density,wig,wigs,145.0,,,,True,False,False,False,False,,,https://hairloss.com/cdn/shop/files/omnilace_model_square_photo_05c4cb8d-3e7d-4cfb-a845-cbb60bb128cb.png?v=1760547413&width=1100
